,Zona,year,month,so2_max,so2_median,temp_mean,n_so2,n_temp,month_name
0,CENTRO,2021,1,17.8,4.55,13.54,338,341,Enero
1,CENTRO,2021,2,14.2,4.1,14.84,229,285,Febrero
2,CENTRO,2021,3,11.3,8.9,19.66,143,340,Marzo
3,CENTRO,2021,4,11.4,1.6,21.97,250,328,Abril
4,CENTRO,2021,5,7.2,1.6,24.2,261,340,Mayo
5,CENTRO,2021,6,4.4,1.8,25.44,247,326,Junio
6,CENTRO,2021,7,5.6,2.1,24.82,214,317,Julio
7,CENTRO,2021,8,18.7,5.0,26.2,278,338,Agosto
8,CENTRO,2021,9,10.7,5.4,25.26,284,307,Septiembre
9,CENTRO,2021,10,13.3,5.1,22.75,312,340,Octubre
10,CENTRO,2021,11,10.0,3.2,16.97,309,329,Noviembre
11,CENTRO,2021,12,21.3,4.4,17.89,327,339,Diciembre
12,CENTRO,2022,1,73.9,5.0,12.72,319,326,Enero
13,CENTRO,2022,2,23.0,5.0,12.74,279,301,Febrero
14,CENTRO,2022,3,22.2,5.2,18.28,328,336,Marzo
15,CENTRO,2022,4,13.5,4.7,23.27,282,322,Abril
16,CENTRO,2022,5,18.8,4.8,26.11,287,339,Mayo
17,CENTRO,2022,6,7.0,5.1,26.35,245,308,Junio
18,CENTRO,2022,7,13.7,5.6,27.79,294,340,Julio
19,CENTRO,2022,8,8.0,5.5,26.54,269,339,Agosto
20,CENTRO,2022,9,7.9,5.8,23.62,280,329,Septiembre
21,CENTRO,2022,10,15.5,6.3,20.16,274,325,Octubre
22,CENTRO,2022,11,15.4,2.75,15.38,296,329,Noviembre
23,CENTRO,2022,12,15.1,3.2,13.91,324,340,Diciembre
24,CENTRO,2023,1,16.4,3.8,16.2,333,341,Enero
25,CENTRO,2023,2,18.2,3.7,16.82,287,306,Febrero
26,CENTRO,2023,3,11.0,3.2,19.67,304,328,Marzo
27,CENTRO,2023,4,8.0,3.1,20.58,279,329,Abril
28,CENTRO,2023,5,5.9,3.0,23.12,327,340,Mayo
29,CENTRO,2023,6,6.1,2.4,28.39,325,329,Junio
30,CENTRO,2023,7,7.9,2.5,27.8,336,336,Julio
31,CENTRO,2023,8,5.3,2.3,28.51,319,340,Agosto
32,CENTRO,2023,9,10.3,2.3,27.72,307,307,Septiembre
33,CENTRO,2023,10,7.6,2.6,21.03,332,332,Octubre
34,CENTRO,2023,11,6.4,2.6,15.68,308,308,Noviembre
