station,lat,lon,elev_m,distance_km,delta_elev_m
NTE2,25.729722,-100.31,520,3.131,120
NTE,25.798611,-100.327222,503,4.7738,103
NO,25.762778,-100.369167,568,4.8674,168
NE,25.744722,-100.253056,474,6.9342,74
CE,25.675833,-100.338333,562,9.0822,162
SE,25.665278,-100.243611,500,12.7346,100
NE2,25.777222,-100.188056,432,13.5341,32
SO2,25.665,-100.412778,636,13.6652,236
NO3,25.768333,-100.463611,607,14.3325,207
SUR,25.616944,-100.273889,555,16.1743,155
SO,25.675556,-100.458056,674,16.3769,274
NE3,25.790556,-100.078333,346,24.6148,-54
SE2,25.645833,-100.095278,387,25.7349,-13
NO2,25.800278,-100.584444,702,26.8193,302
SE3,25.601111,-99.999167,334,36.5768,-66
