Row Labels,Sum of SO2,,,,,,,,Municipio,San Nicolás de los Garza,
Abasolo,0.23,,,,,,,,,,
Agropecuarias,,,,Row Labels,Sum of SO2,Sum of SO2_2,Sum of SO2_3,,Row Labels,Sum of SO2,Sum of SO2_2
Almacenamiento y transporte de derivados de petróleo,,,,Abasolo,0.00%,0.00%,0.23,,Fuentes de área,0.79,0.01%
Carreteras,0.06,,,Apodaca,0.69%,0.69%,114.54,,Actividades de construcción,,0.00%
Emisiones biogénicas,,,,Cadereyta Jiménez,52.01%,52.01%,8635.62,,Aguas residuales,,0.00%
Fuentes industriales ligeras y comerciales,,,,Agropecuarias,0.01%,0.02%,1.59,,Aplicación de fertilizantes,,0.00%
Fuentes misceláneas,,,,Almacenamiento y transporte de derivados de petróleo,0.00%,0.00%,,,Aplicación de plaguicidas,,0.00%
Manejo de Residuos,0,,,Carreteras,0.02%,0.04%,3.09,,Artes gráficas,,0.00%
No carreteras,0.14,,,Emisiones biogénicas,0.00%,0.00%,,,Asados al carbón,,0.00%
Plástico y hule,,,,Fuentes industriales ligeras y comerciales,0.00%,0.00%,,,Asfaltado,,0.00%
Quema de combustibles en fuentes estacionarias,0.03,,,Fuentes misceláneas,0.00%,0.00%,,,Caminos pavimentados y no pavimentados,,0.00%
Uso de Solventes,,,,Manejo de desechos y remediación,0.00%,0.00%,0.36,,Combustión agrícola,,0.00%
Apodaca,114.54,,,Manejo de Residuos,0.00%,0.00%,0,,Combustión comercial,0.14,0.00%
"Accesorios, aparatos eléctricos y equipos de generación eléctrica",0.2,,,Mezclas químicas,0.00%,0.00%,0,,Combustión doméstica,0.34,0.01%
Agropecuarias,,,,No carreteras,0.02%,0.03%,2.82,,Combustión industrial,0.09,0.00%
Alimentos y bebidas,0.02,,,Petróleo y petroquímica,51.95%,99.88%,8625.4,,Corrales de engorda,,0.00%
Almacenamiento y transporte de derivados de petróleo,,,,Quema de combustibles en fuentes estacionarias,0.00%,0.00%,0.19,,Emisiones domésticas de amoniaco,,0.00%
