Municipio,Categoría,SO2
Abasolo,Agropecuarias,0.0
Abasolo,Almacenamiento y transporte de derivados de petróleo,0.0
Abasolo,Carreteras,0.060000000000000005
Abasolo,Emisiones biogénicas,0.0
Abasolo,Fuentes industriales ligeras y comerciales,0.0
Abasolo,Fuentes misceláneas,0.0
Abasolo,Manejo de Residuos,0.0
Abasolo,No carreteras,0.14
Abasolo,Plástico y hule,0.0
Abasolo,Quema de combustibles en fuentes estacionarias,0.03
Abasolo,Uso de Solventes,0.0
Apodaca,"Accesorios, aparatos eléctricos y equipos de generación eléctrica",0.2
Apodaca,Agropecuarias,0.0
Apodaca,Alimentos y bebidas,0.02
Apodaca,Almacenamiento y transporte de derivados de petróleo,0.0
Apodaca,Automotriz ,0.15
Apodaca,Carreteras,12.95
Apodaca,Celulosa y papel ,0.13
Apodaca,Emisiones biogénicas,0.0
Apodaca,Fuentes industriales ligeras y comerciales,0.0
Apodaca,Fuentes misceláneas,0.0
Apodaca,Generación de energía eléctrica ,0.0
Apodaca,Impresión,0.0
Apodaca,Industria textil,0.01
Apodaca,Manejo de Residuos,0.0
Apodaca,Manejo de desechos y remediación,0.0
Apodaca,Metalúrgica (incluye la siderúrgica) ,7.03
Apodaca,Metálico,0.08
Apodaca,Minerales no metálicos,2.07
Apodaca,No carreteras,90.86
Apodaca,Papel y cartón,0.0
Apodaca,Pinturas y tintas ,0.0
Apodaca,Plástico y hule,0.01
Apodaca,Quema de combustibles en fuentes estacionarias,0.72
Apodaca,Química ,0.23
Apodaca,Uso de Solventes,0.0
Apodaca,Vidrio,0.08
Cadereyta Jiménez,Agropecuarias,1.59
Cadereyta Jiménez,Almacenamiento y transporte de derivados de petróleo,0.0
Cadereyta Jiménez,Carreteras,3.09
Cadereyta Jiménez,Emisiones biogénicas,0.0
Cadereyta Jiménez,Fuentes industriales ligeras y comerciales,0.0
Cadereyta Jiménez,Fuentes misceláneas,0.0
Cadereyta Jiménez,Manejo de Residuos,0.0
