timestamp,foco,station,dist_m,t_hr,so2_real
2022-12-01 01:00:00,Refinería Cadereyta,FOCO,0.0,0.0,128.95624999999998
2022-12-01 01:00:00,Refinería Cadereyta,SUROESTE,52398.68945288901,3.653853385921535,6.9
2022-12-01 01:00:00,Refinería Cadereyta,NORESTE3,26137.34241628808,2.248044118442159,3.5
2022-12-01 01:00:00,Refinería Cadereyta,NOROESTE,46762.29253381958,5.105893068451468,3.3
2022-12-01 01:00:00,Refinería Cadereyta,NORESTE2,32173.726416153106,2.9629443604629286,3.0
2022-12-01 01:00:00,Refinería Cadereyta,NORTE2,39858.41129712729,3.779783728885763,2.7
2022-12-01 01:00:00,Refinería Cadereyta,SURESTE,31186.4900208658,3.7827820703849113,2.6
2022-12-01 01:00:00,Refinería Cadereyta,SUROESTE2,47724.15650995374,3.7827820703849113,2.6
2022-12-01 01:00:00,Refinería Cadereyta,NORTE,44899.05691462642,4.264909796317646,2.5
2022-12-01 01:00:00,Refinería Cadereyta,SURESTE3,5667.278855073283,0.2196382428940568,2.4
2022-12-01 01:00:00,Refinería Cadereyta,NOROESTE2,68312.88070010755,7.798388195157116,2.2
2022-12-01 01:00:00,Refinería Cadereyta,NOROESTE3,55735.243018296,6.348583126930998,2.2
2022-12-01 01:00:00,Refinería Cadereyta,NORESTE,35464.931128354656,3.667160147935086,2.1
2022-12-01 01:00:00,Refinería Cadereyta,CENTRO,40668.09551565133,3.800772119379801,2.0
2022-12-01 01:00:00,Refinería Cadereyta,SURESTE2,16408.099158080917,1.4356611327366893,1.8
2022-12-01 01:00:00,Refinería Cadereyta,SUR,33196.92652051992,3.8157638268755423,1.5
2022-12-01 01:00:00,Zinc Nacional,FOCO,0.0,0.0,128.95624999999998
2022-12-01 01:00:00,Zinc Nacional,SUROESTE,16376.869955774317,0.9166016760919908,6.9
2022-12-01 01:00:00,Zinc Nacional,NORESTE3,24614.75827825026,0.9424534655442665,3.5
2022-12-01 01:00:00,Zinc Nacional,NOROESTE,4867.439220384198,0.1823251823251823,3.3
2022-12-01 01:00:00,Zinc Nacional,NORESTE2,13534.059667444755,0.9462551992872482,3.0
2022-12-01 01:00:00,Zinc Nacional,NORTE2,3130.978919786243,0.1823251823251823,2.7
2022-12-01 01:00:00,Zinc Nacional,SURESTE,12734.538738400472,0.9492965862816336,2.6
2022-12-01 01:00:00,Zinc Nacional,SUROESTE2,13665.1342804997,0.9492965862816336,2.6
2022-12-01 01:00:00,Zinc Nacional,NORTE,4773.798125259496,0.1823251823251823,2.5
2022-12-01 01:00:00,Zinc Nacional,SURESTE3,36576.73563936213,0.9508172797788262,2.4
2022-12-01 01:00:00,Zinc Nacional,NOROESTE2,26819.21314075957,3.1408038290103937,2.2
2022-12-01 01:00:00,Zinc Nacional,NOROESTE3,14332.465290993032,1.0480148499291913,2.2
2022-12-01 01:00:00,Zinc Nacional,NORESTE,6934.168967666561,0.9530983200246153,2.1
2022-12-01 01:00:00,Zinc Nacional,CENTRO,9082.183590685838,0.9538586667732116,2.0
2022-12-01 01:00:00,Zinc Nacional,SURESTE2,25734.87408455618,0.9553793602704043,1.8
